site,genome,Completeness,Contamination,gene_count,domain,phylum,class,order,family,genus,species
D4,35,29.73,4.46,1008,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,GBS-2,,
D4,36,29.32,9.26,466,Bacteria,Patescibacteria,ABY1,UBA2591,UBA2591,,
D4,37,29.31,0,1602,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas sp5
D4,38,28.93,3.45,3057,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,,
D4,39,28.45,0,519,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,GCA_001770775.1
D4,4,93.13,1.64,1725,Bacteria,Bacteroidota,UBA10030,UBA10030,,,
D4,40,23.35,0,388,Bacteria,Chloroflexota,Anaerolineae,UBA7937,UBA7937,,
D4,41,20.61,0,1825,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Acidovorax,
D4,42,18.97,0,1495,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,
D4,43,17.64,2.25,481,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,,
D4,44,14.95,1.72,2576,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,
D4,45,10.34,0,963,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,
D4,5,92.4,6.67,4147,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,,
D4,6,86.81,0,2852,Bacteria,Gemmatimonadota,GCA-2686955,,,,
D4,7,82.91,1.61,1425,Bacteria,Omnitrophota,koll11,UBA6215,UBA6215,,
D4,8,80.39,1.32,3377,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,
D4,9,77.93,10.4,1120,Archaea,Hadesarchaeota,YNP-45,YNP-45,YNP-45,,
D5,1,100,0.91,2749,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,,
D5,10,79.15,6.2,5560,Bacteria,Eremiobacterota,Eremiobacteria,Eremiobacterales,,,
D5,11,78.12,15.88,2026,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,,
D5,12,77.44,3.41,3677,Bacteria,Planctomycetota,Brocadiae,,,,
D5,13,75.84,2.17,3126,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculaceae,Parvibaculum,
D5,14,75.45,4.3,1668,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,,
D5,15,74.95,8.06,1437,Bacteria,Omnitrophota,koll11,,,,
D5,16,74.58,2.16,1918,Bacteria,Bipolaricaulota,Bipolaricaulia,Bipolaricaulales,Bipolaricaulaceae,Bipolaricaulis,
D5,17,73.26,2.4,1687,Archaea,Thermoplasmatota,Thermoplasmata_A,UBA10834,UBA10834,COMBO-56-21,
D5,18,72.7,3.45,708,Bacteria,Patescibacteria,Paceibacteria,UBA6257,Jorgensenbacteraceae,,
D5,19,71.2,4.35,2605,Bacteria,Desulfobacterota,BSN033,UBA8473,UBA8473,UBA8473,
D5,2,97.4,1.76,5063,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Ketobacteraceae,,
D5,20,70.62,13.74,1013,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA1562,
D5,21,68.15,0,811,Bacteria,Patescibacteria,ABY1,GCA-002771165,,,
D5,22,67.77,1,782,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,GBS-2,,
D5,23,67.09,8.89,3633,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,,
D5,24,66.97,10.44,3395,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,UBA3361,
D5,25,66.84,1.08,868,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,,
D5,26,65.88,0.81,3308,Bacteria,Desulfobacterota,Desulfobacteria,Desulfatiglanales,HGW-15,,
D5,27,65.32,2.03,2418,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Didemnitutus,
D5,28,63.76,19.22,4239,Bacteria,Desulfobacterota,BSN033,BSN033,UBA1163,,
D5,29,63.67,7.95,2175,Bacteria,Desulfobacterota,BSN033,BSN033,UBA1163,RBG-16-49-23,
D5,3,97.15,0.32,2796,Bacteria,Firmicutes_B,Desulfotomaculia,Desulfotomaculales,,,
D5,30,56.33,0.28,1801,Bacteria,UBP1,PRR-12,,,,
D5,31,54.28,4.52,903,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,GBS-2,,
D5,32,50.7,10.28,1810,Archaea,Halobacterota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,
D5,33,49.82,9.34,1307,Bacteria,UBA9089,UBA9088,UBA9088,,,
D5,34,45.28,9.15,1927,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,,
D5,35,43.77,3.76,2558,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalivibrionaceae,Thioalkalivibrio,GCF_000025545.1
D5,36,41.69,1.87,2391,Bacteria,Firmicutes_B,Desulfotomaculia,Desulfotomaculales,BRHc4a,,
D5,37,41.15,1.23,391,Bacteria,Patescibacteria,Paceibacteria,UBA6257,,,
D5,38,36.94,0.08,1441,Bacteria,Firmicutes_B,Desulfotomaculia,Ammonifexales,Ammonificaceae,,
D5,39,36.58,3.37,1446,Bacteria,Elusimicrobiota,Elusimicrobia,Elusimicrobiales,UBA9959,UBA2231,
D5,4,93.6,1.35,2996,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,UBA2336,
D5,40,36.36,7.76,1174,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,UBA2250,
D5,41,33.99,3.06,481,Bacteria,Patescibacteria,Paceibacteria,UBA6257,Brennerbacteraceae,,
D5,42,32.7,0,949,Bacteria,Elusimicrobiota,Endomicrobia,Elusimicrobia-1,Elusimicrobia-1,Elusimicrobia-1,
D5,43,32.28,0.46,459,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA9983,,
D5,44,31.67,2.69,623,Archaea,JdFR-18,JdFR-18,JdFR-18,,,
D5,45,30.57,4.63,665,Bacteria,Patescibacteria,Kazan,,,,
D5,46,30.23,0,341,Bacteria,Patescibacteria,,,,,
D5,47,29.29,1.97,4049,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,,
D5,48,29.19,0.96,723,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,,
D5,49,28.67,1.72,1440,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,
D5,5,93.36,2.14,2488,Bacteria,Actinobacteriota,RBG-13-55-18,ctinobacteria-3,ctinobacteria-3,,
D5,50,25.31,0.84,1552,Archaea,Hadesarchaeota,YNP-45,YNP-45,YNP-45,,
D5,51,25.23,0.93,472,Archaea,JdFR-18,JdFR-18,JdFR-18,,,
D5,52,25.22,2.69,1048,Bacteria,Proteobacteria,Gammaproteobacteria,UBA5335,UBA5335,,
D5,53,21.93,0.82,1667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,,
D5,54,19.98,2.2,2934,Archaea,Thermoplasmatota,CG49143,CG49143,,,
D5,55,19.81,1.39,541,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,
D5,56,16.36,0.16,418,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,,
D5,58,14.73,0,619,Bacteria,Actinobacteriota,RBG-13-55-18,ctinobacteria-3,ctinobacteria-3,,
D5,59,12.5,0,363,Bacteria,Actinobacteriota,UBA9087,UBA10029,UBA10029,UBA10029,
D5,6,92.23,2.33,3008,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium,
D5,7,91.61,2.77,1981,Bacteria,Firmicutes_B,Desulfotomaculia,Ammonifexales,Ammonificaceae,,
D5,8,84.62,0,2964,Bacteria,Gemmatimonadota,GCA-2686955,,,,
D5,9,84.46,0.06,1096,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA1562,
D6,1,98.92,1.08,3992,Bacteria,Planctomycetota,,,,,
D6,10,96.37,1.12,3164,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,,
D6,100,13.79,0,342,Bacteria,Firmicutes_D,Dethiobacteria,DTU022,UBA8154,UBA9862,
D6,11,96.36,2.91,3838,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,envOPS12,UBA8950,
D6,12,95.48,1.94,6139,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,UBA2245,,
D6,13,95.32,2.26,3793,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,,
D6,14,94.38,0.19,3018,Bacteria,Spirochaetota,Brevinematia,Brevinematales,GWF1-51-8,GWF1-51-8,
D6,15,92.73,1.82,3507,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,envOPS12,OLB14,
D6,16,92.73,5.91,3642,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,,
D6,17,92.72,5.05,4217,Bacteria,Desulfobacterota,BSN033,BSN033,UBA1163,RBG-16-49-23,
D6,18,92.56,0.81,5065,Bacteria,Desulfobacterota,Desulfobacteria,Desulfatiglanales,HGW-15,,
D6,19,91.38,1.27,1893,Bacteria,Firmicutes_B,Desulfotomaculia,Ammonifexales,Ammonificaceae,,
D6,2,98.88,0.56,3542,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,,
D6,20,91.02,4.77,3665,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,20-14-all-51-8,,
D6,21,90.66,1.29,3105,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfatibacillaceae,,
D6,22,90.59,3.7,4097,Bacteria,Armatimonadota,,,,,
D6,23,89.36,1.08,1564,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,,
D6,24,89.09,1.79,3010,Bacteria,Firmicutes,Alicyclobacillia,Tumebacillales,Effusibacillaceae,,
D6,25,88.14,2.82,2491,Bacteria,Firmicutes_D,Dethiobacteria,DTU022,DTU022,,
D6,26,88.11,1.08,1459,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,,
D6,27,87.27,3.82,3051,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA6092,,
D6,28,86.83,0.56,3341,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,,
D6,29,85.35,0.11,3001,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,,
D6,3,98.88,1.68,3203,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,,
D6,30,83.39,2.67,3816,Bacteria,Eremiobacterota,,,,,
D6,31,83.24,3.3,2227,Bacteria,UBP1,PRR-12,SSS58A,SSS58A,SSS58A,GCA_002403075.1
D6,32,83.2,9.23,2429,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfurivibrionaceae,,
D6,33,82.73,5.76,2921,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA8523,
D6,34,82.2,1.13,2197,Bacteria,Firmicutes_D,Dethiobacteria,DTU022,UBA8154,UBA9862,
D6,35,80.95,1.28,2657,Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,XYC2-FULL-35-21,,
D6,36,80.51,0,2480,Bacteria,Firmicutes_D,Dethiobacteria,DTU022,UBA8154,UBA9862,
D6,37,78.05,0.99,1536,Bacteria,Chloroflexota,Dehalococcoidia,Dehalococcoidales,UBA3254,,
D6,38,77.9,0,756,Bacteria,Patescibacteria,Paceibacteria,UBA6257,Jorgensenbacteraceae,GWA2-45-9,
D6,39,76.57,0.16,1206,Bacteria,Patescibacteria,Microgenomatia,Shapirobacterales,UBA12405,,
D6,4,98.88,5.72,6296,Bacteria,OLB16,OLB16,,,,
D6,40,76,2.63,2882,Bacteria,Desulfobacterota,Desulfobacteria,Desulfatiglanales,CG2-30-51-40,CG2-30-51-40,
D6,41,75.66,2.25,743,Bacteria,Patescibacteria,Paceibacteria,UBA6257,Jorgensenbacteraceae,,
D6,42,74.63,0,2641,Bacteria,Gemmatimonadota,GCA-2686955,,,,
D6,43,72.73,2.91,2814,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA4823,RBG-16-57-11,
D6,44,68.81,3.45,1012,Bacteria,Patescibacteria,WWE3,UBA101185,UBA10185,OXYD1-FULL-39-9,
D6,45,67.27,2.27,2104,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA11579,UBA11579,
D6,46,65.45,8.38,2262,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA4781,
D6,47,64.76,0,982,Bacteria,Patescibacteria,ABY1,UBA10025,,,
D6,48,64.74,1.1,1739,Bacteria,Zixibacteria,MSB-5A5,Zixibacteria-1,Zixibacteria-1,,
D6,49,64.24,0.47,1942,Bacteria,Firmicutes_B,Desulfotomaculia,Desulfotomaculales,BRHc4a,,
D6,5,98.86,2.15,2835,Bacteria,UBA3054,UBA3054,,,,
D6,50,63.43,0,1089,Bacteria,Patescibacteria,Microgenomatia,Woykebacterales,,,
D6,51,61.29,2.45,2079,Bacteria,Firmicutes_E,DTU015,UBA995,,,
D6,52,60.21,2.58,4659,Bacteria,Myxococcota,UBA1671,,,,
D6,53,60.13,0.5,2018,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Sulfuricellaceae,UBA2239,
D6,54,58.91,0,863,Bacteria,Patescibacteria,Microgenomatia,Shapirobacterales,Um-filter-40-11,,
D6,55,58.77,0.54,2766,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,,
D6,56,57.27,7.73,3560,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA4823,,
D6,57,56.9,0,828,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,Woesebacteraceae,GWB1-39-10,
D6,58,53.68,0,1837,Bacteria,Planctomycetota,Phycisphaerae,UBA1845,,,
D6,59,53.56,0,867,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,Woesebacteraceae,GWC1-37-12b,
D6,6,98.71,4.19,6514,Bacteria,Desulfobacterota,Desulfobacteria,Desulfatiglanales,HGW-15,HGW-15,
D6,60,52.88,1.44,2258,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA6170,
D6,61,56.36,0.18,1776,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA4823,,
D6,62,52.31,1.49,2030,Bacteria,Firmicutes_E,DTU015,UBA8153,UBA8153,,
D6,63,51.49,0,713,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,Woesebacteraceae,,
D6,64,51,4.09,3428,Bacteria,Desulfobacterota,JdFR-97,JdFR-97,JdFR-97,,
D6,65,50.02,0.56,1687,Bacteria,Elusimicrobiota,Elusimicrobia,Elusimicrobiales,UBA9959,UBA2231,
D6,66,50,0,1592,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA6170,UBA6170 sp1
D6,67,49.11,0,2253,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacula,
D6,68,48.89,0.6,1608,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,UBA10518,
D6,69,48.16,0.91,1950,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,,
D6,7,98.67,0.89,1663,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,UBA2284,
D6,70,46.55,5.17,3467,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,envOPS12,,
D6,71,43.88,2.05,1370,Bacteria,Firmicutes_E,DTU015,UBA9673,UBA9673,,
D6,72,41.27,0,1138,Bacteria,Desulfobacterota,BSN033,UBA8473,UBA8473,UBA8473,
D6,73,40.28,4.72,4262,Bacteria,Planctomycetota,Phycisphaerae,SG8-4,SG8-4,PLanc-01,
D6,74,40.24,2.73,1207,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA5211,
D6,75,39.2,0.6,1690,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,,
D6,76,34.4,1.72,429,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Campbellbacteraceae,UBA12079,
D6,77,33.65,4.95,1140,Bacteria,Firmicutes_E,DTU015,UBA8153,,,
D6,78,33.33,0.1,693,Bacteria,Patescibacteria,Microgenomatia,Shapirobacterales,Um-filter-40-11,,
D6,79,33.31,0.78,1946,Bacteria,Desulfobacterota,Desulfarculia,Desulfarculales,Desulfarculaceae,,
D6,8,97.86,0.85,3504,Bacteria,Actinobacteriota,RBG-13-55-18,RBG-13-55-18,RBG-13-55-18,,
D6,80,33.13,0.49,1145,Bacteria,Firmicutes_E,UBA3569,,,,
D6,81,32.52,0,812,Bacteria,Bipolaricaulota,Bipolaricaulia,Bipolaricaulales,Bipolaricaulaceae,Bipolaricaulis,
D6,82,32.05,0,2144,Bacteria,Firmicutes_B,Thermincolia,Thermincolales,UBA2595,,
D6,83,31.88,0,670,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA5211,
D6,84,31.15,0,2111,Bacteria,Desulfobacterota,Desulfarculia,Desulfarculales,Desulfarculaceae,,
D6,85,30.09,0,1121,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,envOPS12,,
D6,86,29.62,0,2098,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,XYB12-FULL-38-5,
D6,87,29.53,2.21,1036,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA8523,
D6,88,28.02,4.8,992,Bacteria,Firmicutes_E,DTU015,UBA9673,UBA9673,,
D6,89,27.03,1.81,1991,Bacteria,Chloroflexota,,,,,
D6,9,97.31,1.08,2881,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,UBA6192,
D6,90,22.93,0.14,1509,Bacteria,Deferrisomatota,Deferrisomatia,Deferrisomatales,Deferrisomataceae,,
D6,91,22.81,1.75,984,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,UBA10518,
D6,92,22.35,1.22,1390,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,,
D6,93,20.94,0,588,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacula,
D6,94,18.21,1.62,1306,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,UBA10518,
D6,95,17.46,1.94,940,Bacteria,Desulfobacterota,Desulfarculia,Desulfarculales,Desulfarculaceae,,
D6,96,15.83,0,465,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,,
D6,97,15.52,0,528,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA4781,
D6,98,14.5,0.91,525,Bacteria,Chloroflexota,Anaerolineae,SBR1031,UBA2029,,
D6,99,13.79,0,639,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA11579,UBA11579,
SW,1,99.15,0.82,2359,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Methylotenera_A,
SW,10,95.69,2.59,1861,Bacteria,Proteobacteria,Gammaproteobacteria,Francisellales,,,
SW,11,95.27,4.73,2520,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,Parachlamydiaceae,,
SW,12,94.87,0,2357,Bacteria,Cyanobacteriota,Vampirovibrionia,Caenarcaniphilales,2-02-FULL-35-15,,
SW,13,94.26,0.68,2122,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,Parachlamydiaceae,,
SW,14,94.19,1.16,2381,Bacteria,Proteobacteria,Gammaproteobacteria,UBA1113,UBA1113,,
SW,15,94.1,0.95,3006,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Ga0077548,
SW,16,92.89,3.08,1279,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,
SW,17,89.75,0.14,1986,Bacteria,Proteobacteria,Gammaproteobacteria,Berkiellales,UBA6186,,
SW,18,89.71,3.04,2338,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,Parachlamydiaceae,,
SW,19,87.36,1.72,2417,Bacteria,Proteobacteria,Gammaproteobacteria,Berkiellales,Berkiellaceae,Berkiella,
SW,2,98.9,0,2492,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
SW,20,87.18,1.42,3050,Bacteria,Cyanobacteriota,Vampirovibrionia,Obscuribacterales,,,
SW,21,87.07,8.06,7706,Bacteria,Cyanobacteriota,Vampirovibrionia,Obscuribacterales,,,
SW,22,85.89,0,1225,Bacteria,Dependentiae,Babeliae,Babeliales,,,
SW,23,85.39,0,1044,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,Vermiphilus,Vermiphilus pyriformis
SW,24,84.8,0.59,3180,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SG8-41,Ga0077527,
SW,25,83.91,0.96,1615,Bacteria,Proteobacteria,Gammaproteobacteria,UBA1113,,,
SW,26,83.76,2.05,2071,Bacteria,Proteobacteria,Gammaproteobacteria,Ga0077554,Ga007554,Ga0077554,
SW,27,83.63,0.97,1526,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,,
SW,28,83.31,2.19,1978,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,,,
SW,29,83.11,1.82,1828,Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,Kapabacteriaceae,,
SW,3,97.8,0,2389,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
SW,30,82.51,5.36,3242,Bacteria,Bdellovibrionota,Bacteriovoracia,UBA1018,UBA1018,,
SW,31,77.59,0,2454,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella_B,
SW,32,74.46,2.15,2065,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
SW,33,73.23,0.88,1201,Bacteria,Proteobacteria,Alphaproteobacteria,UBA9655,UBA9655,,
SW,34,71.81,0,695,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Kaiserbacteraceae,GWA1-54-10,
SW,35,70.69,0,3408,Bacteria,Bacteroidota,Bacteroidia,AKYH767,2-12-FULL-35-15,2-12-FULL-35-15,
SW,36,70.57,4.55,4127,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,UBA6488,
SW,37,68.74,2.27,5818,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,,
SW,38,67.7,5.62,6312,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Planctomycetaceae,,
SW,39,66.17,5.17,1665,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,
SW,4,97.44,4.84,5786,Bacteria,Cyanobacteriota,Vampirovibrionia,Obscuribacterales,Obscuribacteraceae,Ga0077546,
SW,40,64.88,1.95,1763,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,Ga0074140,,
SW,41,64.47,0.55,800,Bacteria,Dependentiae,Babeliae,Babeliales,,,
SW,42,62.78,0.26,1250,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,UBA11403,
SW,43,62.58,1.15,4096,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Planctomycetaceae,,
SW,44,62.28,0,1088,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,,
SW,45,61.93,1.14,2301,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,SM1A02,UBA11155,
SW,46,61.15,0.68,2654,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,
SW,47,60.34,0,1291,Bacteria,Proteobacteria,Alphaproteobacteria,Caedibacterales,Nucleicultricaceae,Nucleicultrix,Nucleicultrix amoebiphila
SW,48,59.52,0.48,2044,Bacteria,Bacteroidota,Bacteroidia,NS11-12g,UBA9320,,
SW,49,59.13,0,903,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,,
SW,5,97.44,3.56,5594,Bacteria,Cyanobacteriota,Vampirovibrionia,Obscuribacterales,Obscuribacteraceae,,
SW,50,57.73,0,3599,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,,
SW,51,57.25,8.83,1646,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Porticoccaceae,,
SW,52,57.01,1.22,1795,Bacteria,Bacteroidota,Bacteroidia,AKYH767,2-12-FULL-35-15,,
SW,53,56.9,0,1040,Bacteria,Proteobacteria,Gammaproteobacteria,UBA6002,UBA6002,UBA6002,
SW,54,56.73,1.69,1290,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,Parachlamydiaceae,,
SW,55,56.71,1.02,1449,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,,
SW,56,55.86,2.61,1363,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae,,
SW,57,55.17,3.45,1698,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Hylemonella,
SW,58,55.07,0,2382,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,OLB17,
SW,59,54.62,0.84,1802,Bacteria,Dadabacteria,UBA1144,UBA2774,UBA2774,,
SW,6,97.12,0.48,2827,Bacteria,Bacteroidota,Bacteroidia,AKYH767,GCA-2737665,,
SW,60,54.41,1.82,2226,Bacteria,Proteobacteria,Gammaproteobacteria,UBA5335,UBA5335,UBA5335,GCA_002862435.1
SW,61,51.93,1.41,2399,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,
SW,62,50.06,1.49,2983,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,,
SW,63,48.27,0.98,2408,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SG8-41,,
SW,64,47.65,9.2,3145,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Thermoguttaceae,,
SW,65,46.55,5.17,2221,Bacteria,Proteobacteria,Alphaproteobacteria,SL26,SL26,UBA11222,
SW,66,45.27,4.29,1977,Bacteria,Bacteroidota,Bacteroidia,NS11-12g,,,
SW,67,42.3,0,1407,Bacteria,Bdellovibrionota,Bacteriovoracia,UBA1018,UBA1018,,
SW,68,41.98,0.14,1226,Bacteria,Cyanobacteriota,Vampirovibrionia,Obscuribacterales,Obscuribacteraceae,,
SW,69,40,1.72,968,Bacteria,Proteobacteria,Alphaproteobacteria,UBA9655,UBA9655,UBA9655,
SW,7,96.96,2.03,1943,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,Ga0074140,,
SW,70,39.69,2.7,2933,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,,,
